mean,mean,std,std,ref,ref,3,4,5,6,7,8,9,10,11,12,13,14,15,mc_avg,mc_std,mc_err,measured
1.562099299068402669e-01,3.019378104297794074e-01,2.106369002978116356e+00,1.251093343003725655e+00,1.100000000000000000e+01,1.100000000000000000e+01,6.201932801975926779e+00,1.098012994291336675e+01,9.112672856855683179e+00,1.078976864104354583e+01,9.940323648701699710e+00,1.068886075311957207e+01,1.008951737624060563e+01,1.060284362890926602e+01,1.016816881164868214e+01,1.054231496424357672e+01,1.021544685636758309e+01,1.049857687071239454e+01,1.024600805170069151e+01,1.035871250657456066e+01,9.963102977069130617e+00,9.963102977069131228e-02,1.188453684999999993e+01
5.209102866608092963e-01,3.491762207330892931e-01,2.868678415686681138e+00,1.423981268543315748e+00,1.100000000000000000e+01,1.100000000000000000e+01,8.915998906597323526e+00,1.528952018889375530e+01,1.301524657575677679e+01,1.507043604344505106e+01,1.431052548838178318e+01,1.496067034115006855e+01,1.447884749788489955e+01,1.484645841069118077e+01,1.455735888838038861e+01,1.476518185438027153e+01,1.459768549423740858e+01,1.470701808046403869e+01,1.462502979039177831e+01,1.451031073723372167e+01,2.178628619843508218e+01,2.178628619843508141e-01,1.359226284000000007e+01
4.822368670538630386e-01,2.028553120450444502e-01,6.270169040898454504e-01,1.654149991035008593e+00,1.100000000000000000e+01,1.100000000000000000e+01,4.015813619460626427e+00,7.758167653798834884e+00,6.165055148258623774e+00,7.610837172279116380e+00,6.897791413416432427e+00,7.538085751521674815e+00,7.013461670791841129e+00,7.495785160617923992e+00,7.072179479215819242e+00,7.455097544925578745e+00,7.102770725370476157e+00,7.419208397044581460e+00,7.152300706151727638e+00,7.214717498949617003e+00,1.207559007045583144e+01,1.207559007045583138e-01,6.776620438000000135e+00
5.930702050177931728e-01,2.313673751060869310e-01,9.203945430474823608e-01,1.205685866643130932e+00,1.100000000000000000e+01,1.100000000000000000e+01,2.788264103620684775e+00,4.758905921478113754e+00,4.336793428442898168e+00,4.594233790542063822e+00,4.745594792358878600e+00,4.703303273144650021e+00,4.770122021413272684e+00,4.751135853635824802e+00,4.763917962334678791e+00,4.774046290959928385e+00,4.747043676165525028e+00,4.783464379220838225e+00,4.726363675031192813e+00,4.678708596174463885e+00,5.397907570043774861e+00,5.397907570043775083e-02,5.430817141000000348e+00
4.289935929994368458e-01,3.542699898066127284e-01,2.933461100537784638e+00,8.368572750754946776e-01,1.100000000000000000e+01,1.100000000000000000e+01,5.626329296660568247e+00,1.155640846474298655e+01,8.944825076177250978e+00,1.125841315075531845e+01,9.922067636055283302e+00,1.108394686251193484e+01,1.016400495861856434e+01,1.094884058316474018e+01,1.029838967172696051e+01,1.085456519917352480e+01,1.037980572296992854e+01,1.078781826174176750e+01,1.043280678825272290e+01,1.047639906563827594e+01,1.377567123413179395e+01,1.377567123413179495e-01,1.213937763000000025e+01
1.946434945614149703e-01,4.653967619238795761e-01,4.934286621066284462e-01,1.430371175296614172e+00,1.100000000000000000e+01,1.100000000000000000e+01,3.174527354727496586e+00,5.201790473538010495e+00,4.608839228210649175e+00,5.060846936026599074e+00,5.038186720179775868e+00,4.967268454867220129e+00,5.069030194711623416e+00,4.893261549000422761e+00,5.074812516818075991e+00,4.842817449945736819e+00,5.070670328230640678e+00,4.810901098579944524e+00,5.062776188433384839e+00,4.920590685568829947e+00,6.838660173430481493e+00,6.838660173430481659e-02,5.184031572000000310e+00
3.188787140606136328e-01,5.719204746904410497e-01,9.388405253389713045e-02,1.962523234950734441e+00,1.100000000000000000e+01,1.100000000000000000e+01,3.341582134617999689e+00,6.071898314160340426e+00,5.151405752990291909e+00,5.870994311559313061e+00,5.703426679014341083e+00,5.752623853371845009e+00,5.771903430958868597e+00,5.662322289149546606e+00,5.799354544666891265e+00,5.600994482662166263e+00,5.809528074161041999e+00,5.557646559749427340e+00,5.811205688008640458e+00,5.613909685809487016e+00,1.008113930355901822e+01,1.008113930355901827e-01,5.679596197999999596e+00
2.311002268813465432e-01,3.452271581189682026e-01,1.574042878696794157e+00,5.968293073478341260e-01,1.100000000000000000e+01,1.100000000000000000e+01,3.847627293965125261e+00,7.287228006315944917e+00,5.871011473860222374e+00,7.175036447180653809e+00,6.534050632136024106e+00,7.091547381320494559e+00,6.636816850359278597e+00,7.013974967656686488e+00,6.703435707436072200e+00,6.957053532594363432e+00,6.743619100173217973e+00,6.936935890295337970e+00,6.767948724723422238e+00,6.886996363359377149e+00,1.036845887861703197e+01,1.036845887861703175e-01,6.641832409000000048e+00
4.761421476680960385e-01,6.740250766920419245e-03,6.167908930802660228e-01,5.272307277292629379e-01,1.100000000000000000e+01,1.100000000000000000e+01,2.109749016242661313e+00,3.118990747176061173e+00,2.979738746027920104e+00,3.188072725373101157e+00,3.213359364510466776e+00,3.252069631597208410e+00,3.201138733284423221e+00,3.266032746722289382e+00,3.192172449142137047e+00,3.275122297232582635e+00,3.196016571901227010e+00,3.273230646259163823e+00,3.195512270215258077e+00,3.251840996936571138e+00,5.550130946613480276e+00,5.550130946613480304e-02,3.060616877999999819e+00
1.186225437894346812e-01,2.534127410186924889e-01,1.664610468406826360e+00,1.503452066862753567e+00,1.100000000000000000e+01,1.100000000000000000e+01,7.070084982059738010e+00,1.055780222361562792e+01,9.688005973520379399e+00,1.052652589455316701e+01,1.040841375818742343e+01,1.053966085373871309e+01,1.048081036862743076e+01,1.053867045108422928e+01,1.050488112999067525e+01,1.053668771379921942e+01,1.051247986592454531e+01,1.053492247241656088e+01,1.051458349221275235e+01,1.052537860705226436e+01,1.002653224418269140e+01,1.002653224418269123e-01,1.151902373999999973e+01
