mean,mean,mean,std,std,std,ref,ref,ref,3,4,5,6,7,8,9,10,11,12,13,14,15,mc_avg,mc_std,mc_err,measured
3.473039745534556300e-01,1.180877122312123939e-02,9.931147443947883069e-01,1.447078647316714983e+00,1.270131335548410512e+00,2.396030947799895117e+00,1.100000000000000000e+01,1.100000000000000000e+01,1.100000000000000000e+01,1.207442501098810368e+02,1.358063649304911564e+02,1.398892794047712016e+02,1.398320533314411023e+02,1.417536530456946480e+02,1.394636169821924625e+02,1.418754109544103699e+02,1.395007174135927244e+02,1.416577419564299589e+02,1.396982873316857763e+02,1.413922513573189121e+02,1.398740197447602327e+02,1.411550640368590734e+02,1.425102856567017682e+02,1.453444863565555067e+02,1.453444863565555023e+00,1.555748724999999979e+02
1.174201880517841357e+00,1.285731368414450682e+00,1.198225800927274154e+00,2.859394995092415126e+00,1.395059691942950320e+00,3.274708602373124222e+00,1.100000000000000000e+01,1.100000000000000000e+01,1.100000000000000000e+01,1.224386297224940563e+02,1.257151493197063417e+02,1.380009772806903641e+02,1.350264680247725266e+02,1.370269502929313319e+02,1.359260146213358098e+02,1.357740276285424557e+02,1.362471392571039530e+02,1.350775816318114266e+02,1.361865692262259984e+02,1.346703634277620267e+02,1.360218306174914744e+02,1.346340371910220881e+02,1.355251774998610301e+02,2.150087492316050373e+02,2.150087492316050231e+00,1.437036383999999885e+02
1.138143447473502157e+00,2.771989661825662310e-01,-8.487232812923145575e-02,2.084216763797999139e+00,1.217351150937948878e+00,1.517652616008736688e+00,1.100000000000000000e+01,1.100000000000000000e+01,1.100000000000000000e+01,1.192286132928859530e+02,1.356220931484082257e+02,1.392261844393598835e+02,1.400868008135000764e+02,1.412458817878530795e+02,1.400527104975979285e+02,1.415282362656509747e+02,1.403077939540816601e+02,1.413692446842390211e+02,1.407431120201843271e+02,1.410935676763061224e+02,1.411017729493709680e+02,1.408415885478492271e+02,1.406853736342748959e+02,1.525652467897499491e+02,1.525652467897499420e+00,1.471972579000000110e+02
-1.311376982469458774e-02,3.047158520274512172e-01,2.291798815022242364e-01,3.177591248164351345e+00,2.090795465627324656e+00,2.517576389554181393e+00,1.100000000000000000e+01,1.100000000000000000e+01,1.100000000000000000e+01,2.813307089358230542e+02,3.788053507037203644e+02,3.421993445192218815e+02,3.877396807378865446e+02,3.541993907494240261e+02,3.818220953710012395e+02,3.598404470705565927e+02,3.783660941473161756e+02,3.632120501795234873e+02,3.761790748268717266e+02,3.653127403110833029e+02,3.747096688497872492e+02,3.666964675301136367e+02,3.739090046968100864e+02,5.279429446152549872e+02,5.279429446152549943e+00,3.064689243000000261e+02
2.978982123089991552e-01,6.171718733661619716e-01,1.419730073583944652e-01,2.416483368120070363e+00,2.526766632111815181e+00,1.722578964593916018e+00,1.100000000000000000e+01,1.100000000000000000e+01,1.100000000000000000e+01,2.006019743926838430e+02,2.274668577481144212e+02,2.329752321577669818e+02,2.387787005738049118e+02,2.365132622367476358e+02,2.385022423929814295e+02,2.373749986241699617e+02,2.384090050189039687e+02,2.376414855918285696e+02,2.382947720212865477e+02,2.377606280872254274e+02,2.381882470337795041e+02,2.378620103484146853e+02,2.371407605279157735e+02,3.010642096402409607e+02,3.010642096402409429e+00,2.300751346000000126e+02
6.594391774266874506e-01,8.476429949372134010e-01,5.552140067951796265e-01,2.579284731098466121e+00,1.169419415334409740e+00,3.068405045527729413e+00,1.100000000000000000e+01,1.100000000000000000e+01,1.100000000000000000e+01,1.183811330754817988e+02,1.532167756859555539e+02,1.427488761928440795e+02,1.540748481108296346e+02,1.466259281805046442e+02,1.518661070095779451e+02,1.479115540112651104e+02,1.506797147004767226e+02,1.483943301284269296e+02,1.499532933462204483e+02,1.487027560680991201e+02,1.497053363337362271e+02,1.489329789944983418e+02,1.509268664275527669e+02,1.530851560546102519e+02,1.530851560546102608e+00,1.866367195999999922e+02
-8.052238397740449360e-02,1.120672815111850795e+00,-2.329621340415099773e-01,1.606316958168119813e+00,1.457307653327989616e+00,9.500947353593076627e-01,1.100000000000000000e+01,1.100000000000000000e+01,1.100000000000000000e+01,1.478691074429772243e+02,1.679136502016517909e+02,1.659581791664587911e+02,1.719830059931272501e+02,1.668029015070925993e+02,1.696810439318762462e+02,1.680662816930445729e+02,1.700559547802962754e+02,1.695111852394145160e+02,1.705425729812703253e+02,1.703145511421361675e+02,1.708190946373554198e+02,1.707147690020278787e+02,1.713605337260160582e+02,2.410018119098910176e+02,2.410018119098910283e+00,1.485090309999999931e+02
-4.902112293312826941e-02,8.489783946841430451e-01,3.009443664453449463e-01,2.028904939387836670e+00,2.608558948070956340e+00,3.751384115111630280e+00,1.100000000000000000e+01,1.100000000000000000e+01,1.100000000000000000e+01,3.449783508864924215e+02,4.043259907206380603e+02,4.007701099087792045e+02,4.248922188424172646e+02,4.079279557186667375e+02,4.222087236630889038e+02,4.105886041346479942e+02,4.204518645785025228e+02,4.120091251733589957e+02,4.192774439216332212e+02,4.130359256702955690e+02,4.184929465731495952e+02,4.137989571268051350e+02,4.230486560234885474e+02,7.010581853464690312e+02,7.010581853464690205e+00,2.948880497999999761e+02
5.892886606793186210e-01,1.021106823548732501e-01,1.184438348045917522e+00,1.826333995547938516e+00,3.072249948690406018e+00,1.953566536350051619e+00,1.100000000000000000e+01,1.100000000000000000e+01,1.100000000000000000e+01,1.048376146921754213e+02,1.516430156869952839e+02,1.289122771092685298e+02,1.514426849594688349e+02,1.334628802660924407e+02,1.486887077189082333e+02,1.360749754695220588e+02,1.473449724670510648e+02,1.374817144441881567e+02,1.466297713484670737e+02,1.384733285718315869e+02,1.459828939902430704e+02,1.392503924573965151e+02,1.438273021348230145e+02,1.036262165100137764e+02,1.036262165100137800e+00,1.966966223000000014e+02
9.337047566750700245e-02,-5.417459361584950339e-02,2.301902892721723326e-01,1.348860772048866119e+00,2.357411639085420951e+00,1.539925171869492848e+00,1.100000000000000000e+01,1.100000000000000000e+01,1.100000000000000000e+01,1.313864885323088458e+02,2.037692774495979506e+02,1.663911462932328504e+02,2.031768133959484999e+02,1.749316363120057076e+02,1.989083291000272027e+02,1.791719929746780338e+02,1.964791461269570050e+02,1.817028699232647000e+02,1.949713782152757346e+02,1.833430025636650100e+02,1.939602838373125735e+02,1.844745679955072148e+02,1.883615806361441400e+02,1.411087093695153953e+02,1.411087093695154060e+00,2.205218932999999879e+02
