mean,mean,std,std,ref,ref,3,4,5,6,7,8,9,10,11,12,13,14,15,mc_avg,mc_std,mc_err,measured
1.461469827615038408e+00,1.717712726599044837e+00,4.234893268158694823e+00,3.124750986783094708e-01,3.500000000000000000e+00,5.500000000000000000e+00,3.013862929029619053e+00,5.432411379395802875e+00,4.582574027571601150e+00,5.302055885289826520e+00,5.088075105386499430e+00,5.220452361564911214e+00,5.151478534867959702e+00,5.152584211004261228e+00,5.180046596595046182e+00,5.106042333582543336e+00,5.193660360728252101e+00,5.073129131853907126e+00,5.199654520312283701e+00,5.170539187026172101e+00,9.203059059674092879e+00,9.203059059674092990e-02,4.548516259000000339e+00
2.459898740191738264e-01,1.860997538274000940e+00,2.983965055234894859e+00,2.323215469916237286e+00,3.500000000000000000e+00,5.500000000000000000e+00,6.403253912310427065e-01,1.864385689703912607e+00,9.613452476585711004e-01,1.585689978601581673e+00,1.232329838126386301e+00,1.428414900709838564e+00,1.340822153167423370e+00,1.407701598593677605e+00,1.354504146229953188e+00,1.422871573627387365e+00,1.332985377954050588e+00,1.433659786947055759e+00,1.321662629586294546e+00,1.401108086241996231e+00,1.783942107898353502e+00,1.783942107898353613e-02,5.547317447000000179e+00
7.034338035149696466e-01,1.993964203540329327e+00,1.690451633253300612e+00,3.468611146962991221e+00,3.500000000000000000e+00,5.500000000000000000e+00,1.884443205649033892e+00,2.719967247074766004e+00,2.642600038290916498e+00,2.700321565585138472e+00,2.834452797005946323e+00,2.720163418755379148e+00,2.850508042548449694e+00,2.746475968223307085e+00,2.860672531020195031e+00,2.758488629294281846e+00,2.860245178429844159e+00,2.767288146958787109e+00,2.850752089285715662e+00,2.815438445160325820e+00,5.250900017261716179e+00,5.250900017261716374e-02,3.762628378000000051e+00
1.125262707511442084e+00,4.993155964581736939e-01,1.675524052959793675e+00,5.241046662815278090e+00,3.500000000000000000e+00,5.500000000000000000e+00,6.282966543912459123e+00,1.026635359826278027e+01,8.795865743392015546e+00,1.025633880209211313e+01,9.689799794939442990e+00,1.020883669651738224e+01,9.776925604640714695e+00,1.014593648146959737e+01,9.834313005390368900e+00,1.011204975647046034e+01,9.873945504361998360e+00,1.008997328957512352e+01,9.904367844519978092e+00,9.977505401235667648e+00,1.766347561114294251e+01,1.766347561114294251e-01,6.302679289000000296e+00
1.545759585184736107e-02,4.614319772867647274e+00,4.976494325217286629e+00,1.981219819148760886e+00,3.500000000000000000e+00,5.500000000000000000e+00,2.861578477846007829e+00,4.832459521903162525e+00,4.040282550660328376e+00,4.916509815033413666e+00,4.594425750716079726e+00,4.932304038666816659e+00,4.656912129572989834e+00,4.915425793013326938e+00,4.696106266449116440e+00,4.900174975662690890e+00,4.720835440123804183e+00,4.887170908473101427e+00,4.737935265388115269e+00,4.837738409306115095e+00,1.055658401786572398e+01,1.055658401786572359e-01,2.759473342000000162e+00
5.614940432808643855e-01,4.292467024935015196e+00,2.574474900123683963e+00,1.373923023975222479e+00,3.500000000000000000e+00,5.500000000000000000e+00,1.973729821555834233e-16,1.235614617480355754e-01,0.000000000000000000e+00,1.557399398957447778e-01,2.996927617855681418e-05,1.476965288663508180e-01,1.950056190965071372e-03,1.314320527054634868e-01,1.167972104075377070e-02,1.148069013795973009e-01,2.820840120919494709e-02,9.975616647399873638e-02,4.495440080801718641e-02,6.399692725333810950e-02,1.403353752996604753e-01,1.403353752996604718e-03,1.122684212000000015e+00
-5.482409494824334040e-01,3.058200092402867831e+00,2.056665174155223763e+00,4.975877450256213308e+00,3.500000000000000000e+00,5.500000000000000000e+00,2.938994347680263353e+00,3.569011849293172389e+00,3.895465869683116367e+00,3.458715577695435250e+00,4.134817373253218520e+00,3.550897059311358461e+00,4.087612825001704309e+00,3.673831306573156930e+00,4.012838804330519871e+00,3.767332871071294331e+00,3.969650277815420569e+00,3.841524889074754867e+00,3.924874806126075200e+00,3.833367182363034864e+00,6.644539037623346189e+00,6.644539037623346800e-02,7.335941885000000440e+00
1.712222868845644230e-01,1.409145828578540316e+00,1.166853011015145825e+00,1.727142270339989460e+00,3.500000000000000000e+00,5.500000000000000000e+00,3.280528196385716022e+00,4.327053331282678883e+00,4.203420863419698783e+00,4.406218137040744054e+00,4.477170787864261925e+00,4.449441558068255809e+00,4.471460333631351425e+00,4.458341388986776010e+00,4.467707528292363506e+00,4.465969831578790128e+00,4.462046031353442466e+00,4.468686952269960599e+00,4.462622063719483556e+00,4.499852398486126503e+00,6.741605901814723190e+00,6.741605901814723412e-02,3.390576899000000033e+00
2.522936686961891439e+00,3.597605259579344406e+00,2.335772486497303735e+00,2.443618799118286500e+00,3.500000000000000000e+00,5.500000000000000000e+00,8.702215626895777323e-01,8.793679467770323388e-01,8.980489812083700674e-01,1.046704430446704359e+00,1.044300132190925101e+00,1.096092819451912614e+00,1.049773174454482261e+00,1.087759425467477836e+00,1.062877686585796067e+00,1.080483213615804683e+00,1.064229581012918757e+00,1.071768806967090315e+00,1.067085745596129343e+00,1.099056501541057607e+00,3.946307306642716561e+00,3.946307306642716367e-02,6.288830994999999868e-01
-5.473368489739313114e-01,-6.242895477747807398e-01,2.029192351803792427e+00,3.932868508326483159e+00,3.500000000000000000e+00,5.500000000000000000e+00,1.534136296374601471e+01,2.044238332251013901e+01,1.928302931294338052e+01,2.048300121800902218e+01,2.051392986500144744e+01,2.052173617211696666e+01,2.056581202570232492e+01,2.051672197826608013e+01,2.057423757438401424e+01,2.051949597215433130e+01,2.057081050215199269e+01,2.052592289806952053e+01,2.056180143909727320e+01,2.081434358491286574e+01,2.763949146764668541e+01,2.763949146764668741e-01,1.452805432000000074e+01
