mean,mean,mean,std,std,std,ref,ref,ref,3,4,5,6,7,8,9,10,11,12,13,14,15,mc_avg,mc_std,mc_err,measured
5.536020528105282112e-01,-2.403523150640344275e-01,1.335006718253015645e+00,3.544515607400143153e+00,5.231778269617209709e+00,4.263458812679512100e+00,3.500000000000000000e+00,5.500000000000000000e+00,7.500000000000000000e+00,2.491469109995482256e+01,3.393258927290729332e+01,2.563824182688999187e+01,3.311743072509376873e+01,2.791503491743823062e+01,3.161831532384056587e+01,2.908165148917549203e+01,3.082982543666003750e+01,2.961971013367077177e+01,3.052920500018909422e+01,2.981404287019237742e+01,3.044243891162451376e+01,2.987580325974681728e+01,3.002876013710942971e+01,4.637838679528085351e+01,4.637838679528085151e-01,9.215573496000000375e+01
9.110104450145789512e-01,1.500918761059427009e+00,1.372239206811943557e+00,2.620983437276144024e+00,5.218076385231825043e+00,6.226245396953231648e+00,3.500000000000000000e+00,5.500000000000000000e+00,7.500000000000000000e+00,6.009822835652657602e+01,7.072209237930267989e+01,7.358089585317515002e+01,7.466953960035814930e+01,7.455810676268657744e+01,7.406438346230427783e+01,7.478722111740967193e+01,7.419971946073560787e+01,7.469301687904675191e+01,7.422400504268560439e+01,7.462885236003131695e+01,7.427953695265243539e+01,7.457791254270523496e+01,7.624043348933702191e+01,1.817781931474040391e+02,1.817781931474040436e+00,5.928755758999999870e+01
6.850759097801425446e-01,4.325528244366179109e+00,5.228684245220355464e+00,1.650013678033565245e+00,3.212278181576691427e+00,2.315854874822521836e+00,3.500000000000000000e+00,5.500000000000000000e+00,7.500000000000000000e+00,6.823836114127709074e+00,6.039202247917397237e+00,5.878040141930343410e+00,6.861835867175604342e+00,6.199631315070325499e+00,6.614278666078605262e+00,6.450967993707886983e+00,6.372546195687596615e+00,6.550652661720734571e+00,6.317488138605262371e+00,6.568366567283127289e+00,6.377507955012795549e+00,6.523246308807802762e+00,6.168133278009308995e+00,2.214323096410366887e+01,2.214323096410366898e-01,3.145081875999999887e+00
2.461511228945976626e+00,2.703150882684097756e-01,3.955458203817458607e+00,4.988079582689830538e+00,1.987727026299045407e+00,5.755052519852867476e+00,3.500000000000000000e+00,5.500000000000000000e+00,7.500000000000000000e+00,1.409022176832312212e+01,1.083210953190706860e+01,1.162951419099116102e+01,1.305128236620318027e+01,1.096901353888831032e+01,1.297786558768022580e+01,1.122664340769822289e+01,1.270468544074077499e+01,1.148807253803387596e+01,1.245849001931291156e+01,1.170629748099858602e+01,1.224948982432755784e+01,1.190084550306379718e+01,1.164737288352088385e+01,3.775221487861632852e+01,3.775221487861633030e-01,3.805163583000000216e+01
2.103221181378685412e+00,-9.549203557163740141e-01,4.074495254773330188e+00,1.362855781296472779e+00,1.662852399042183960e+00,6.144971099434934025e+00,3.500000000000000000e+00,5.500000000000000000e+00,7.500000000000000000e+00,2.031344484846714238e+01,2.060996044713262165e+01,2.414431277930114561e+01,2.166817137366799173e+01,2.431639785970396161e+01,2.180125331843901293e+01,2.414697260142862589e+01,2.247656478312340766e+01,2.398276700267282280e+01,2.289883384826788060e+01,2.378672608623629614e+01,2.313932078151522731e+01,2.359636628413234405e+01,2.399567548739595324e+01,5.668526125673481886e+01,5.668526125673482019e-01,1.970479032000000075e+01
1.054543904344125149e+00,1.406060450555072450e+00,2.043348770376489654e+00,1.330900420324224509e+00,6.181773285391052752e+00,6.180427549896378103e+00,3.500000000000000000e+00,5.500000000000000000e+00,7.500000000000000000e+00,1.163704167798070976e+01,1.662332332345645014e+01,1.354679029002858393e+01,1.597036153734401864e+01,1.383599407085902477e+01,1.535977616447979344e+01,1.432733595432906881e+01,1.486637877415524933e+01,1.454817839954320036e+01,1.474893701601026841e+01,1.452856439655016985e+01,1.470672869871602195e+01,1.462345788739756358e+01,1.454505983999643703e+01,2.985571947848029950e+01,2.985571947848029706e-01,4.712082714000000294e+01
1.084921292480672594e+00,2.873096011512121795e-01,5.885879421001098066e+00,1.136550222488972084e+00,4.572080546756482455e+00,9.776343863887920094e+00,3.500000000000000000e+00,5.500000000000000000e+00,7.500000000000000000e+00,6.101483233086684521e+01,6.362469631819850235e+01,6.926647931505547717e+01,6.761201482027212251e+01,7.013457927845202278e+01,6.761350504476017420e+01,7.012124425175231579e+01,6.842832568753055966e+01,6.986511345952968099e+01,6.902234477560287473e+01,6.963134684701735466e+01,6.936920637616159979e+01,6.946208729260889925e+01,6.641328789181122261e+01,1.665452986361802630e+02,1.665452986361802612e+00,3.980605247999999818e+01
2.924772144523073436e-01,1.880447448627887486e+00,4.995316186790127233e+00,2.897378925033463837e+00,2.070539603895678038e+00,2.612965314076443502e+00,3.500000000000000000e+00,5.500000000000000000e+00,7.500000000000000000e+00,1.111995641210044639e+01,1.339488441550823694e+01,1.342880788849865148e+01,1.433440095148651494e+01,1.374386748424140769e+01,1.417684686571108976e+01,1.386510326344754951e+01,1.414516654829930786e+01,1.388932886813433321e+01,1.412751225844229452e+01,1.391814233085382568e+01,1.411311551934755393e+01,1.394374251699296252e+01,1.387249604947814952e+01,3.333214519767000183e+01,3.333214519767000450e-01,1.329457625999999948e+01
6.974695836813826766e-02,2.956659129356404847e-01,9.501190137301387395e-01,7.482973325603067494e+00,3.525655411118099547e+00,5.558676552015227479e+00,3.500000000000000000e+00,5.500000000000000000e+00,7.500000000000000000e+00,8.312321479651375000e+01,1.223996221396253219e+02,1.173435629854015332e+02,1.295219718716452348e+02,1.242443651776998905e+02,1.293905265085012104e+02,1.254626569364152431e+02,1.283623478848119248e+02,1.249782629105350509e+02,1.268822686683421495e+02,1.239163090560589779e+02,1.254636528462819456e+02,1.239063496000553641e+02,1.256995435704486397e+02,2.557179445071034536e+02,2.557179445071034340e+00,1.483619802999999990e+02
2.348577584509032423e+00,3.097943893382970604e+00,9.905046300240281099e-01,2.762137488199877478e+00,4.781237369717084462e+00,4.544053709576467703e+00,3.500000000000000000e+00,5.500000000000000000e+00,7.500000000000000000e+00,7.327717644127499597e+00,1.015187269307175555e+01,1.075193425881369258e+01,1.187132445053387286e+01,1.118841136365746536e+01,1.189569591301650142e+01,1.122391192265785342e+01,1.180011007787955180e+01,1.116204749895452153e+01,1.166885763702512335e+01,1.123722984177056183e+01,1.162558281786643555e+01,1.133924475835964252e+01,1.129044295130987052e+01,4.036832363881153896e+01,4.036832363881153740e-01,2.209715144999999836e+01
