mean,mean,mean,std,std,std,ref,ref,ref,3,4,5,6,7,8,9,10,11,12,13,14,15,mc_avg,mc_std,mc_err,measured
1.642939142625512439e-01,8.854958157253797202e-01,2.998267303952033558e-01,1.063218801307762140e+00,1.138509486475089760e+00,1.263598345109033128e+00,1.100000000000000000e+01,1.100000000000000000e+01,1.100000000000000000e+01,7.490629761635565842e+01,8.839488330926937465e+01,9.019537141734058139e+01,9.469738637551145644e+01,9.181207354395390041e+01,9.479663693786208967e+01,9.196451685475953752e+01,9.463604199597980937e+01,9.172535901289425908e+01,9.434811874782570840e+01,9.135485500598871056e+01,9.400050228058161395e+01,9.094672535131313396e+01,9.095555902717583763e+01,1.058597032746391449e+02,1.058597032746391386e+00,9.215312624999999969e+01
9.659812859771691462e-01,2.793350129943623639e-01,7.098150274296906037e-01,1.168462386794639540e+00,1.240240018664196531e-01,9.431889456693935969e-01,1.100000000000000000e+01,1.100000000000000000e+01,1.100000000000000000e+01,3.183310656757578272e+01,1.354540250887999520e+01,3.381469142552486318e+01,2.379310820592041154e+01,3.132299767705559645e+01,2.724818532504387392e+01,2.909927958029948414e+01,2.883022026018818451e+01,2.729941434479747997e+01,2.947648843951186848e+01,2.579087729832246367e+01,2.969517945139935478e+01,2.530877736116701016e+01,2.772843290241769409e+01,5.291744815260341994e+01,5.291744815260341905e-01,2.795371662999999884e+01
9.399778333119882534e-01,9.356275448001171169e-01,3.432571723657252827e-01,7.225630391388692120e-01,6.492987904837341784e-01,1.018564056757069514e+00,1.100000000000000000e+01,1.100000000000000000e+01,1.100000000000000000e+01,2.913902917672972492e+01,3.190284686873205544e+01,2.948926164999682342e+01,3.411575637792643079e+01,3.148468311675965836e+01,3.256338153837515392e+01,3.290544310731620925e+01,3.078117837147235747e+01,3.346414910244643437e+01,3.002487771881928325e+01,3.350573734958880578e+01,3.012074103191904939e+01,3.323699817086998110e+01,3.131007460201589865e+01,5.153213122714058159e+01,5.153213122714057626e-01,3.180858475999999868e+01
9.678915829938737891e-01,8.699662669460442865e-01,1.163065646770939265e+00,1.134643082865596675e+00,9.269241593710739746e-01,8.091914080114577246e-01,1.100000000000000000e+01,1.100000000000000000e+01,1.100000000000000000e+01,2.886348493311243146e+01,1.397687467721667787e+01,2.663279747871377978e+01,2.288207389271025249e+01,2.482139174030826823e+01,2.457340955089122758e+01,2.293117344315053785e+01,2.451918120779505017e+01,2.133207091714459480e+01,2.487389255460011483e+01,2.117526768041250307e+01,2.503877428808230476e+01,2.215260825149546520e+01,2.411676846742790303e+01,4.627529086907194511e+01,4.627529086907194444e-01,2.355079918999999933e+01
9.079609272973544476e-01,-2.632055510894257266e-01,-1.670511546804989145e-01,4.902848259051287849e-01,7.288463055753671149e-01,1.174192286871682311e+00,1.100000000000000000e+01,1.100000000000000000e+01,1.100000000000000000e+01,9.333747526410083140e+01,1.133605387603805070e+02,1.073746637105287505e+02,1.144433094671133517e+02,1.099866954331884727e+02,1.130290571833908189e+02,1.108555898103562214e+02,1.123382581211885167e+02,1.110130590188869633e+02,1.118275136827716238e+02,1.113748521285744886e+02,1.113735017013278394e+02,1.116644158207299142e+02,1.128492640534228713e+02,1.058573820237472205e+02,1.058573820237472152e+00,1.113136798000000027e+02
-1.667197540955769608e-01,8.038932908957309165e-01,-2.757288772732068294e-01,1.186239070783855265e+00,1.155876506621004607e+00,1.052650029978620339e+00,1.100000000000000000e+01,1.100000000000000000e+01,1.100000000000000000e+01,1.255844186780638978e+02,1.405384017381011859e+02,1.435783640478105667e+02,1.462269269371070664e+02,1.455445636915363536e+02,1.468565035800808687e+02,1.458928377299332055e+02,1.470697629297650053e+02,1.457919384461477819e+02,1.470622398255376595e+02,1.455259155095143058e+02,1.469336944597798436e+02,1.452002181803150904e+02,1.462150470682148011e+02,1.363270806934853852e+02,1.363270806934853807e+00,1.454529010999999912e+02
9.324672623962685369e-01,2.201736343529860918e-01,2.667993262496622942e-01,5.107548903592520340e-01,5.673655886518232938e-01,9.005421899678893727e-01,1.100000000000000000e+01,1.100000000000000000e+01,1.100000000000000000e+01,3.284907178893290336e+01,4.227586657454149588e+01,4.094220998878274287e+01,4.194988069954396792e+01,4.237948562760606563e+01,4.078407011580976871e+01,4.262706233583865156e+01,4.033089939682037794e+01,4.238406059712795582e+01,3.998238678498482557e+01,4.235479372997222924e+01,3.964738894789039136e+01,4.242898114118062836e+01,4.199548041175444268e+01,5.667307175198298808e+01,5.667307175198298408e-01,4.108326036999999786e+01
-7.124504581539661818e-02,7.851437180156525253e-01,-2.525841124434526908e-01,1.086707947304141442e+00,1.158891265166412499e+00,9.827243927069881924e-01,1.100000000000000000e+01,1.100000000000000000e+01,1.100000000000000000e+01,1.102713587713467831e+02,1.271937932968899077e+02,1.277421692560156856e+02,1.317091731090061160e+02,1.299274388705910042e+02,1.325634754021791082e+02,1.304686617877418939e+02,1.329256774342752010e+02,1.305239907015229903e+02,1.330257572770018157e+02,1.303868186835746315e+02,1.329795206372111238e+02,1.301693236878792845e+02,1.327471462580275841e+02,1.244562399962807291e+02,1.244562399962807264e+00,1.312712142999999969e+02
1.224777850012619407e+00,9.646587186770166911e-01,4.242179956758520554e-01,8.706534122031139855e-01,1.075949067373860091e+00,9.321339322332138355e-01,1.100000000000000000e+01,1.100000000000000000e+01,1.100000000000000000e+01,3.522767969953266487e+01,2.751841294364845680e+01,3.562120276063115654e+01,3.291064843626428882e+01,3.552479226469704088e+01,3.285336312304166029e+01,3.477867938271482728e+01,3.196417940853355333e+01,3.379366122982972342e+01,3.195567778119104574e+01,3.373667192712591145e+01,3.293369707574937877e+01,3.406387022631940198e+01,3.439833794878385476e+01,5.610685219372391686e+01,5.610685219372392174e-01,3.368565025000000190e+01
6.489476579734057005e-01,3.400491015985762644e-01,1.135222862614676087e+00,1.055399635807698688e+00,4.860813774969025558e-01,4.957440237096512048e-01,1.100000000000000000e+01,1.100000000000000000e+01,1.100000000000000000e+01,2.586077543610694818e+01,1.767347830230458072e+01,2.958433032648645877e+01,1.902972648592427163e+01,2.862769508414850606e+01,2.235068303767599929e+01,2.767179492980796596e+01,2.412803192894331517e+01,2.693024216291815875e+01,2.503010144502592027e+01,2.624503299845041226e+01,2.569967660459153436e+01,2.558859734268113328e+01,2.583255253172165311e+01,4.627880963969491290e+01,4.627880963969491224e-01,2.546575199000000111e+01
