mean,mean,std,std,ref,ref,3,4,5,6,7,8,9,10,11,12,13,14,15,mc_avg,mc_std,mc_err,measured
2.401937184256821567e+00,4.785908976938242354e+00,8.028152951939533377e-01,1.868477375437969545e+00,3.500000000000000000e+00,5.500000000000000000e+00,0.000000000000000000e+00,6.131255826734462525e-03,1.228386153752714961e-02,1.671367824123208209e-02,1.738847055470991651e-02,2.318576620586430478e-02,2.165546405324027604e-02,1.872932711299993280e-02,2.255080313630842062e-02,2.047907135531797096e-02,2.069360123542848123e-02,2.170865922737629655e-02,1.919090475909928165e-02,1.958396960825890126e-02,1.767874087061978849e-01,1.767874087061978945e-03,2.094988216999999972e-02
-2.754021314761216366e-01,4.510211487764187233e+00,1.651601059689442597e+00,6.906075723154588841e-01,3.500000000000000000e+00,5.500000000000000000e+00,7.649551805789487346e-01,1.005208179228136434e+00,9.342781153413229900e-01,1.007468229813285099e+00,1.001185250734095478e+00,9.985790516867807387e-01,1.008255609427858523e+00,9.857479799775139551e-01,1.010182622500210625e+00,9.829125394247251180e-01,1.009475193383011504e+00,9.827363427907911397e-01,1.007268737173720563e+00,1.012870107292184851e+00,1.585690007056581807e+00,1.585690007056581724e-02,9.941391775000000264e-01
1.127123785934837086e-01,4.179660398041450620e+00,1.027120189686323570e+00,4.403003320812678978e-01,3.500000000000000000e+00,5.500000000000000000e+00,4.237601015273101401e-01,6.914680761688729582e-01,5.819345775972554202e-01,6.831409511629021880e-01,6.317561699639616668e-01,6.775854646205583531e-01,6.402878295298161104e-01,6.725990199109932455e-01,6.450117812673628048e-01,6.694380531326254991e-01,6.481933259487127064e-01,6.671500691475754641e-01,6.504263249385222601e-01,6.357699102312828199e-01,9.348367771916218372e-01,9.348367771916218233e-03,6.564455093000000074e-01
7.941893260822232570e-01,2.188652043729118368e+00,1.379956295326020710e+00,2.142272166858970817e+00,3.500000000000000000e+00,5.500000000000000000e+00,2.058247393834630401e+00,2.517648150899751247e+00,2.598421895136073800e+00,2.623199670670054662e+00,2.735505245437478195e+00,2.662812134503016459e+00,2.692181461778218932e+00,2.672587063908942184e+00,2.667083921563124793e+00,2.675243836030476885e+00,2.677262058922951216e+00,2.670048350883408084e+00,2.683583384439651276e+00,2.740632840586292307e+00,4.576156996685843303e+00,4.576156996685843553e-02,2.680066666000000097e+00
-1.753762163071408420e-01,2.439571340128441790e+00,1.185168043714111885e+00,2.194682337262761518e+00,3.500000000000000000e+00,5.500000000000000000e+00,3.597453277396071236e+00,4.205322909990721669e+00,4.120412059867883947e+00,4.292634483864333994e+00,4.288837639374659005e+00,4.306852740857937789e+00,4.274978357220389213e+00,4.293949328983039493e+00,4.309229226016666026e+00,4.284829814497012279e+00,4.323837624361545728e+00,4.282569436212797065e+00,4.328163376052239109e+00,4.296186471892802672e+00,5.535506453011101335e+00,5.535506453011101308e-02,4.297914747000000091e+00
2.859155007146868543e-01,-7.336184409418100572e-02,1.450296603604985357e+00,2.210448799767357642e+00,3.500000000000000000e+00,5.500000000000000000e+00,6.685256936503302327e+00,8.405952149091982406e+00,7.864784892886388157e+00,8.479005390164131128e+00,8.198859958667130243e+00,8.492747005783602532e+00,8.240795313247581078e+00,8.474286139891308522e+00,8.273846770471649847e+00,8.455237234880520703e+00,8.297238886899899413e+00,8.439457629628437374e+00,8.316050370283353033e+00,8.470070516728846144e+00,8.848105955310066051e+00,8.848105955310066328e-02,8.378392570999999123e+00
1.317025058859254916e+00,-2.614672284099739397e-01,1.612192076099438598e+00,1.815856388643520614e+00,3.500000000000000000e+00,5.500000000000000000e+00,3.808089206870685750e+00,5.072538534464460902e+00,4.735266265196153235e+00,5.056350854097912517e+00,5.049230602462833950e+00,5.065632178884058590e+00,5.078681715527458174e+00,5.049204465660272589e+00,5.085735162899061024e+00,5.031510891837236876e+00,5.082287307805015253e+00,5.034980613340999334e+00,5.073602901036689872e+00,5.045931981652079124e+00,6.720155431005433222e+00,6.720155431005432611e-02,5.049053273000000175e+00
6.876652462531942511e-01,-3.647101174599408635e-01,1.515316536371106082e+00,2.077314725077385571e+00,3.500000000000000000e+00,5.500000000000000000e+00,6.012679446166380615e+00,7.406576910011385628e+00,7.148811371579566476e+00,7.413291813464221391e+00,7.481358066398743567e+00,7.437848534976672532e+00,7.479357778214184904e+00,7.443754443685277167e+00,7.456030915154592265e+00,7.442884035628379635e+00,7.446835313132771361e+00,7.435993235360091269e+00,7.449494385681314945e+00,7.387534052168000187e+00,8.352019833634297896e+00,8.352019833634298507e-02,7.433595079999999911e+00
1.336096609374135769e+00,1.860197929911548087e+00,4.743158515545213838e-01,2.150198636653469109e+00,3.500000000000000000e+00,5.500000000000000000e+00,9.311657495759282366e-01,1.010030248421621035e+00,1.198249967025410534e+00,1.137800241451754069e+00,1.251777983257207794e+00,1.195710512137286408e+00,1.221787691714733226e+00,1.217803727497945854e+00,1.196067648590668719e+00,1.225378026971347012e+00,1.174003615823000057e+00,1.228812300158007131e+00,1.155539370586815773e+00,1.191896222092525104e+00,2.150086223420498044e+00,2.150086223420498086e-02,1.204372994999999946e+00
1.562525349529275465e+00,4.073527324946203620e+00,7.200118911376396369e-01,2.100134110780265573e+00,3.500000000000000000e+00,5.500000000000000000e+00,6.305101527018211471e-02,2.308017493136568232e-01,1.779594141654180783e-01,1.907683342543056160e-01,2.426787087926653430e-01,2.106767745214179754e-01,2.352595089831953368e-01,2.261309172601564943e-01,2.116581258313780800e-01,2.326482826616565747e-01,2.198384977128818862e-01,2.312062067283838507e-01,2.273442294193952495e-01,2.057123341839624531e-01,7.396801959936627480e-01,7.396801959936627306e-03,2.258527348000000101e-01
2.267732034756382298e+00,1.295640226732018174e+00,1.547741753506890694e+00,2.386579380393789140e+00,3.500000000000000000e+00,5.500000000000000000e+00,1.059289963116820665e+00,1.424618060102172512e+00,1.444626567358782587e+00,1.479212194339903697e+00,1.585866553480483887e+00,1.485328766647224130e+00,1.588416405681535304e+00,1.468877830149020625e+00,1.582676822575472153e+00,1.475253583660307122e+00,1.573241774609956511e+00,1.493835616500020169e+00,1.562778442406062007e+00,1.545147142139383423e+00,3.577210358630572795e+00,3.577210358630572573e-02,1.534980049999999929e+00
2.372106093871971133e+00,4.418154123220529250e+00,1.023744961097487804e+00,1.709077570781012412e+00,3.500000000000000000e+00,5.500000000000000000e+00,0.000000000000000000e+00,3.345834962037931570e-02,3.828354923508770630e-02,3.886110671709275266e-02,5.091819398867400426e-02,4.754658765177255386e-02,4.604679523773297367e-02,4.752755455700065357e-02,4.978163563470516112e-02,4.920042356006366913e-02,5.068998576492458885e-02,4.754403394750778694e-02,4.969499994185620773e-02,5.152200596705335672e-02,3.579424178896821740e-01,3.579424178896821723e-03,4.900456427000000198e-02
